401K,Hi I wanted to speak to someone about my roth 401K.  I am trying to understand the maximum contribution I can make for a Roth in a year.  Also is there a catch up period.
401K,Hi I need to change my email address so I can get the latest prospectus sent on my 401K funds.
401K,What is the minimum distribution age for my 401K benefits?
401K,How do I defined a beneficiary on my 401K?
401K,Can I withdraw my principal from my Roth 401K without tax consequences?
401K,Hi I need to change my email address so I can get the latest prospectus sent on my 401K funds.
401K,What are the different plan types offered in my 401K?
401K,What is the process for borrowing from my 401K?  Are there any tax consequences for this
401K,What are the tax consequences for borrowing money from my 401K?
401K,Can I borrow funds from my 401K for my kids education?
401K,What is the fee on my 401K statement?
401K,What should I do with 401K funds from my other jobs? 
401K,"Limits to how much one can contribute to a 401K is federally mandated and can change annually to track inflation. If you are under 50 years old, the maximum amount you can contribute in one year is $19,500. If you are over 50, the maximum amount you can contribute in one year is $26,000"
401K,"Every company has different policies regarding their 401K plans. Minimum time worked, associated fees, contributing amount and other regulations will all be factors with different 401K plans you’ll come across during your working years. Again, always get all the information you can so that you can make the best decisions regarding your long term investment. "
401K,"Can I withdraw funds penalty free from my 401k plan to purchase my first home?
Answer: If you are under the age of 59 1/2, you cannot withdraw funds from your 401k plan to purchase your first home without being subject to a 10 percent additional tax on this early distributions (called a hardship withdrawal). However, depending on the rules for your 401k plan, you may be able to borrow money from your 401k to purchase your first home. Your plan administrator will have information about your particular plan that explains when you can borrow funds from your 401k plan as well as other plan rules."
IRA,When do I have to start taking money out of my IRA?  
IRA,Is an IRA tax-deferred?
IRA,What is the maximum amount income I can contribute to my spouses IRA?
IRA,Will I have to pay the 10% additional tax on early distributions if I am 47 years old and ordered by a divorce court to take money out of my traditional IRA to pay my former spouse
IRA,What is the minimum required distribution for an IRA?
IRA,How are qualified charitable distributions reported on Form 1099-R?
IRA,Can I roll over my workplace retirement plan account into an IRA
IRA,What types of investments can I make with my IRA
IRA,Can I borrow money from my IRA? 
IRA,I have a will. Why should I name beneficiaries for my IRA? 
IRA,How can I avoid required minimum distributions when I turn 72
IRA,"A SEP is a Simplified Employee Pension plan. A SEP plan provides employers with a simplified method to make contributions toward their employees’ retirement and, if self-employed, their own retirement. Contributions are made directly to an Individual Retirement Account (IRA) set up for each employee (a SEP IRA).  See IRS Publication 560 for more detailed SEP information."
IRA,"A transfer is a way of moving money directly from one IRA custodian to another. Typically, you initiate a transfer by completing an IRA Transfer form for the financial institution to which you wish to transfer your IRA. Your new IRA custodian will sign off on the form and forward it to your current IRA custodian for processing. Direct transfers are not considered distributions; they are not taxable and are not reported to the IRS. These types of transactions may take up to 3 weeks to complete. Individuals may make an unlimited number of transfers per year."
IRA,The deadline for making SEP contributions is the same as the due date of the employer’s federal tax return (including extensions).
IRA,"What are the special rules for retirement plans and IRAs in section 2202 of the CARES Act?
A1. In general, section 2202 of the CARES Act provides for expanded distribution options and favorable tax treatment for up to $100,000 of coronavirus-related distributions from eligible retirement plans (certain employer retirement plans, such as section 401(k) and 403(b) plans, and IRAs) to qualified individuals, as well as special rollover rules with respect to such distributions. It also increases the limit on the amount a qualified individual may borrow from an eligible retirement plan (not including an IRA) and permits a plan sponsor to provide qualified individuals up to an additional year to repay their plan loans. See the FAQs below for more details.    "
IRA,"You must include all pre-tax assets (deductible contributions and earnings) in your taxable income when you withdraw money from your Traditional IRA. If you have made nondeductible contributions to a Traditional IRA or have rolled over nondeductible contributions from a retirement planto your IRA, a portion of each distribution will be treated a the nontaxable return of these contributions."
IRA," When do I have to pay taxes on coronavirus-related distributions?
A6. The distributions generally are included in income ratably over a three-year period, starting with the year in which you receive your distribution. For example, if you receive a $9,000 coronavirus-related distribution in 2020, you would report $3,000 in income on your federal income tax return for each of 2020, 2021, and 2022. However, you have the option of including the entire distribution in your income for the year of the distribution.
 When do I have to pay taxes on coronavirus-related distributions?
A6. The distributions generally are included in income ratably over a three-year period, starting with the year in which you receive your distribution. For example, if you receive a $9,000 coronavirus-related distribution in 2020, you would report $3,000 in income on your federal income tax return for each of 2020, 2021, and 2022. However, you have the option of including the entire distribution in your income for the year of the distribution.
 When do I have to pay taxes on coronavirus-related distributions?
A6. The distributions generally are included in income ratably over a three-year period, starting with the year in which you receive your distribution. For example, if you receive a $9,000 coronavirus-related distribution in 2020, you would report $3,000 in income on your federal income tax return for each of 2020, 2021, and 2022. However, you have the option of including the entire distribution in your income for the year of the distribution.
"
IRA,"Can my spouse make an IRA contribution if she isn’t working right now? 
Yes. If a working spouse receives enough eligible compensation to cover the IRA contribution for a nonworking spouse, the nonworking spouse can make a contribution to her IRA, provided they file a joint federal tax return. For example, a nonworking spouse whose marital partner earns $6,000 in annual eligible compensation can make a contribution of up to $6,000 (current annual limit) to her own IRA, assuming they file jointly. Or the $6,000 contribution can be split between the working and nonworking spouses’ IRAs as they choose (e.g., $3,000 to each). If the working spouse has at least $12,000 in annual eligible compensation and owns an IRA, then each spouse can make the maximum annual contribution to each of their IRAs (i.e., $6,000 to each). If one or both individuals is age 50 or older, their contribution limit is $7,000."
IRA,"Can I borrow money from my IRA? 
No. Unlike participation in a 401(k) or other employer-sponsored retirement plan (other than SEP or SIMPLE IRA plans), an IRA owner cannot take a loan from an IRA. However, the rollover rules allow an IRA owner to withdraw assets and return them within 60 days, possibly providing your clients with a short-term borrowing solution if necessary. They need to be aware of the rollover rules, particularly the one-per-12-month rule, which limits each taxpayer to one IRA-to-IRA rollover in a 12-month period. The rule applies to all of their IRAs in aggregate, not one per IRA (as was once the IRS interpretation). "
IRA,"If I decide to retire before age 59½, can I withdraw my IRA assets early without paying a penalty tax? 
Yes, for some IRA assets. Roth IRA owners may withdraw Roth IRA contributions early without penalty taxes, but any earnings portion of a distribution would be subject to an early distribution penalty tax, unless the IRA owner qualifies for an exemption. IRA owners can also avoid the 10 percent penalty tax by setting up a series of substantially equal periodic payments. Depending on the type of IRA, these payments are potentially subject to ordinary income tax, similar to distributions taken after age 59½. They can be set up for Traditional, Roth, and SIMPLE IRAs, and payments must continue unchanged until the later of five years or until the IRA owner reaches age 59½. "
529,Can I use the funds in a 529 to pay for my own funds.
529,How many named beneficaries be named in my 529 plan?
529,Can I move money from one child's 529 education plan over to another childs plan
529,Can I use the money in my childs 529 plan to help play for their student loans.
